기업명,대표자명,공고 키워드,이메일,홈페이지,출처
(주)아젠컴,강태혁,경영지원,kang@agencomm.com,http://www.agencomm.com,saramin
(주)디알젬,박정병,경영지원,sales@drgemhealthcare.com,http://www.drgemhealthcare.com,saramin
(주)에스티이노베이션,권민수,경영지원,info@stinnovation.co.kr,http://www.stinnovation.co.kr,saramin
(주)푸른기술,함현철,경영지원,sales@puloon.co.kr,http://www.puloon.co.kr,saramin
(주)안다르,공성아,경영지원,support@snapvi.co.kr,http://www.andar.co.kr/,saramin
(주)이그니스,박찬호,경영지원,contact@egnis.kr,https://www.egnis.kr/,saramin
(주)동성케미컬,이만우/백진우,경영지원,2021@dongsung.all,http://idongsung.com/,saramin
한국파이롯트(주),고석주/김진표,경영지원,support@koreapilot.com,http://koreapilot.com,saramin
(주)에스틸,김용석,경영지원,hlgil@ssteel.co.kr,http://www.ssteel.co.kr,saramin
제너셈(주),한복우/한기현,경영지원,seokyeoung.song@genesem.com,http://www.genesem.com,saramin
(주)보광아이엔티,차순자,경영지원,bogwang@bogwang.co.kr,http://www.bogwangint.com,saramin
(주)온디맨드바이오,서승오,연구비 관리,info@ondemandbio.com,https://ondemandbio.com/,saramin
대명지이씨(주),김한욱/서종만,인사,01092985882@dmgec.com,http://www.dmgec.com,saramin
코파스,유용식,정부지원사업 관리,kofas@kofas.co.kr,http://www.kofas.co.kr,jobkorea
프레드피자,강태성,연구비 관리,fredpizza.creative@gmail.com,http://fredpizza.co.kr,jobkorea
성보펫케어(주),이정주,경리,sungbo-petcare@sungbopc.com,http://naturispet.com,saramin
광성기업(주),김동관/성필호,총무,hr@belite.co.kr,http://www.belite.co.kr,saramin
(주)피엔티,김준섭,총무,met4821@epnt.co.kr,http://www.epnt.co.kr,saramin
성보건설산업(주),피영길/피정운,총무,seongbo@bill36524.com,http://www.seongbo.co.kr,saramin
(주)픽소니어,윤종식,총무,support@pixoneer.co.kr,http://www.pixoneer.co.kr,saramin
(주)두코,민병선,총무,doocotra@naver.com,http://www.dooco.co.kr,saramin
(주)원익큐브,김응선,총무,wchong@wonikcube.com,http://www.wonikcube.com,saramin
대흥공업(주),김재환,총무,sales3@daeheungind.kr,http://www.dhind.co.kr,saramin
삼명기계공업(주),김현주,총무,sorics@sorics.co.kr,http://www.sorics.co.kr,saramin
(주)티케이씨,박용순,총무,bnpark@tkc21.com,http://www.tkc21.com,saramin
(주)에버그린코리아,이강민,총무,biz@evergreen-shipping.us,http://www.evergreen-line.com,saramin
대동기어(주),서종환/김준식,비서,d21200@daedong.co.kr,http://www.daedonggear.com,saramin
(주)씨엘팜,김의용/장석훈,비서,clpharm@clpharm.com,http://www.clpharm.co.kr,saramin
(주)더에쓰씨,양승철/이진백,비서,sccompany000@companysc.com,http://www.companysc.com,saramin
한국해양과학기술원,이희승,비서,kiost@kiost.ac.kr,http://www.kiost.ac.kr,saramin
법무법인(유)대륜,고병준/김국일/박동일/최이선,비서,bkly477@asiae.co.kr,https://www.daeryunlaw.com,saramin
