기업명,대표자명,공고 키워드,이메일,홈페이지,출처
(주)코리아하이텍,여승훈/오석철,경영지원,info@koreahitek.co.kr,http://www.koreahitek.co.kr,saramin
(주)디지트론,이종국,경영지원,digitron@digitron.kr,http://www.digitron.kr,saramin
(주)플렉스시스템,이충환,경영지원,flexsystem@flexsystem.co.kr,http://www.flexsystem.co.kr,saramin
(주)옵스,김상용,경영지원,hr@ops.co.kr,http://ops.co.kr,saramin
대한출판문화협회,김태헌,경영지원,webmaster@kpa21.or.kr,http://www.kpa21.or.kr,saramin
(주)하이업엔터테인먼트,최진우,경영지원,info@highup-ent.com,http://highup-ent.com,saramin
(주)넷플렉스,안기영,경영지원,help@netplex.co.kr,http://www.netplex.kr,saramin
(주)에스와이시스템,허웅,경영지원,info@sysystem.co.kr,http://www.sysystem.co.kr,saramin
(주)오션마린서비스,김종문,경영지원,ocean@oceanma.com,http://www.oceanma.com,saramin
에빈코리아(유),박준오,경영지원,ebinkorea@ebinnewyork.com,http://www.ebinkorea.com,saramin
우일씨앤텍(주),김성우/김장중,경영지원,sales@wooilcnt.com,http://www.wooilcnt.com,saramin
(주)한국체인모터,배열승/배윤식,경영지원,tech@hcmfa.com,http://www.hcmfa.com,saramin
(주)리하온,황재윤,경영지원,lihaon@lihaon.co.kr,http://www.lihaon.co.kr,saramin
(주)씨넷,류윤기,경영지원,sales@sea-net.co.kr,http://www.sea-net.co.kr,saramin
해솔정보통신(주),남영우/최복남,경영지원,help@url.kr,http://url.kr/y7omn8,saramin
(주)에땅,공동관,경영지원,info@pizzaetang.com,http://www.pizzaetang.com,saramin
농업회사법인(주)우와돈,이경옥,경영지원,woowadon21@nate.com,http://www.woowadon.com,saramin
(주)세렉스,정양구,경영지원,master@selecs.co.kr,http://www.selecs.co.kr,saramin
씨엔에스(주),김호연,경영지원,webmaster@cnsinc.co.kr,http://www.cnsinc.co.kr,saramin
(주)에이로봇,엄윤설,경영지원,arobotmaster@arobot4all.com,http://www.arobot4all.com,saramin
(주)인코스파트너스,박영수,경영지원,kevin@incoskorea.com,http://www.incoskorea.com,saramin
희창물산(주),권중천,경리,info@heechangtrade.com,http://www.heechangtrade.com,saramin
한양이엔지(주),김윤상/이종근,경리,chkim@hanyangeng.co.kr,http://www.hanyangeng.co.kr,saramin
(주)그랜드관광호텔,서윤자/조성민/조용격,경리,granddaegufront@naver.com,http://www.daegugrand.co.kr,saramin
(주)동진전기,이종협/이수태,경리,sales@dongjinmotor.com,http://www.djelec.co.kr,saramin
벽암산업(주),성원제,경리,byukamdj@byukam.co.kr,http://www.byukam.co.kr,saramin
(주)한신기계,유현용,경리,hanshin2831@naver.com,http://www.hanshinkorea.com,saramin
삼우스텐레스(주),김영석/김정민,경리,samwoosts@naver.com,http://www.samwoosts.com,saramin
한국유체기술(주),서성수,경리,kft@i-kft.com,http://www.i-kft.com,saramin
(주)매스티지데코,김지수,경리,mastideco@mastideco.co.kr,http://www.mastideco.co.kr,saramin
(주)단테크,이강섭,경리,sales@dan-tech.com,http://www.dan-tech.com,saramin
(주)세종스티로폼,류지춘,경리,sj1831@hanmail.net,http://스티로폼.com,saramin
(주)에코앤드림,김민용,총무,recruit@endss.com,http://www.endss.com,saramin
포스텍네트웍스(주),김권일,총무,p11@ptw.kr,http://www.postechnetworks.co.kr,saramin
(주)히츠,김우연,총무,contact@hits.ai,http://hits.ai/,saramin
링컴즈,정훈도,총무,ringcoms@ringcoms.com,http://www.ringcoms.com,saramin
티씨머티리얼즈(주),박혜린,총무,tcm@tcmaterials.co.kr,https://tcmaterials.co.kr/,saramin
(주)에스아이플렉스,용홍택,총무,qna@siflex.co.kr,http://www.siflex.co.kr,saramin
현담산업(주),카이토모노리,총무,hyundam@hyundam.com,http://www.hyundam.com/ko/,saramin
범우화학공업(주),김제관,총무,recruit@buhmwoo.com,https://buhmwoo.ninehire.site,saramin
(주)펨트론,유영웅,총무,sales@pemtron.com,http://www.pemtron.com,saramin
태양3C(주),황창순,총무,sales@tae-yang.co.kr,http://www.tae-yang.co.kr,saramin
한국JST㈜,타카하시아츠히로,총무,jinji@jst-mfg.com,http://www.jst-mfg.com,saramin
(주)효림엑스이,장병언/정희형,총무,bywoong@naver.com,http://www.idigen.com,saramin
(주)엔코스,이남령/홍성훈,총무,ancorsmk@gmail.com,http://www.ancors.co.kr,saramin
예주산업(주),황재희,총무,admin@yejuindustrial.co.kr,http://www.yejuindustrial.co.kr,saramin
환인제약(주),이광식/이원범,총무,recruit@whanin.com,http://www.whanin.com,saramin
영진아이엔디(주),배근한,총무,recruit@youngjinind.co.kr,http://www.youngjinind.co.kr,saramin
(주)제이엠더블유,강민웅,총무,jmwkorea@jmwkorea.com,http://www.jmwkorea.com,saramin
(주)제이티,유홍준/유동완,총무,admin@jtcorp.co.kr,http://www.jtcorp.co.kr,saramin
